GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mon-projet,com.library.model,Book,53,67,0,0,16,29,3,16,3,16
mon-projet,com.library.model,Student,18,36,0,0,6,16,2,8,2,8
mon-projet,com.library.model,Borrow,58,30,0,0,21,11,9,5,9,5
mon-projet,com.library.dao,StudentDAO,108,165,8,6,34,57,7,8,2,6
mon-projet,com.library.dao,BorrowDAO,68,92,2,0,24,27,2,3,1,3
mon-projet,com.library.dao,BookDAO,201,274,11,7,59,82,10,9,3,7
mon-projet,com.library,Main,211,0,14,0,68,0,12,0,2,0
mon-projet,com.library.util,DbConnection,19,8,0,0,5,2,1,1,1,1
mon-projet,com.library.service,BorrowService,9,50,1,5,4,15,2,5,1,3
mon-projet,com.library.service,StudentService,33,30,4,0,7,11,4,5,2,5
mon-projet,com.library.service,BookService,38,30,4,0,8,11,5,5,3,5
